indelsubtype	HPSI0114i-bezi_1	HPSI0114i-bezi_3	HPSI0114i-eipl_1	HPSI0114i-eipl_3	HPSI0114i-fikt_3	HPSI0114i-iisa_1	HPSI0114i-iisa_3	HPSI0114i-joxm_1	HPSI0114i-kolf_2	HPSI0114i-kolf_3	HPSI0114i-lexy_1	HPSI0114i-lexy_2	HPSI0114i-oevr_3	HPSI0114i-rozh_4	HPSI0114i-rozh_5	HPSI0114i-vabj_3	HPSI0114i-vass_1	HPSI0114i-wegi_1	HPSI0114i-zapk_2	HPSI0114i-zapk_3	HPSI0114i-zoxy_3	HPSI0115i-aion_2	HPSI0115i-aion_3	HPSI0115i-aoxv_1	HPSI0115i-aoxv_3	HPSI0115i-bimq_4	HPSI0115i-bimq_5	HPSI0115i-boqx_1	HPSI0115i-boqx_2	HPSI0115i-gifk_1	HPSI0115i-gost_2	HPSI0115i-hecn_3	HPSI0115i-hecn_6	HPSI0115i-iiyk_2	HPSI0115i-iiyk_4	HPSI0115i-iuad_2	HPSI0115i-iuad_3	HPSI0115i-kozf_1	HPSI0115i-kozf_2	HPSI0115i-melw_1	HPSI0115i-melw_2	HPSI0115i-paim_1	HPSI0115i-paim_3	HPSI0115i-payf_1	HPSI0115i-payf_2	HPSI0115i-qoog_4	HPSI0115i-qoog_6	HPSI0115i-rakz_6	HPSI0115i-rehy_2	HPSI0115i-rehy_3	HPSI0115i-sehp_2	HPSI0115i-sehp_3	HPSI0115i-timk_2	HPSI0115i-timk_4	HPSI0115i-uolo_5	HPSI0115i-uupc_2	HPSI0115i-vazt_1	HPSI0115i-vazt_2	HPSI0115i-vehl_2	HPSI0115i-vehl_3	HPSI0115i-yaqw_1	HPSI0115i-yaqw_3	HPSI0115i-zihe_1	HPSI0214i-datg_2	HPSI0214i-eiwy_1	HPSI0214i-feec_2	HPSI0214i-feec_3	HPSI0214i-fiau_1	HPSI0214i-heja_1	HPSI0214i-heja_2	HPSI0214i-heth_1	HPSI0214i-kehc_2	HPSI0214i-kucg_2	HPSI0214i-pelm_1	HPSI0214i-pelm_3	HPSI0214i-poih_2	HPSI0214i-poih_4	HPSI0214i-rayr_1	HPSI0214i-wibj_1	HPSI0214i-wibj_2	HPSI0215i-deyz_2	HPSI0215i-deyz_3	HPSI0215i-fawm_2	HPSI0215i-fawm_4	HPSI0215i-hipn_1	HPSI0215i-hipn_2	HPSI0215i-oilg_1	HPSI0215i-oilg_3	HPSI0215i-romx_1	HPSI0215i-romx_2	HPSI0215i-uiao_1	HPSI0215i-uiao_2	HPSI0215i-yoch_6	HPSI0215i-zett_5	HPSI0314i-bipt_1	HPSI0314i-bubh_1	HPSI0314i-bubh_3	HPSI0314i-cuhk_1	HPSI0314i-cuhk_2	HPSI0314i-fafq_1	HPSI0314i-hoik_1	HPSI0314i-qaqx_1	HPSI0314i-qonc_1	HPSI0314i-sojd_2	HPSI0314i-sojd_3	HPSI0314i-wigw_2	HPSI0314i-xagu_1	HPSI0314i-xugn_1	HPSI0314i-xugn_2	HPSI0414i-ceik_1	HPSI0414i-ceik_2	HPSI0414i-gesg_2	HPSI0414i-mita_2	HPSI0414i-naju_1	HPSI0414i-oaqd_2	HPSI0414i-oaqd_3	HPSI0414i-oikd_2	HPSI0414i-oikd_5	HPSI0414i-sebn_3	HPSI0414i-sebn_4	HPSI0414i-seru_1	HPSI0414i-seru_7	HPSI0414i-uawq_2	HPSI0414i-xojn_3	HPSI0514i-fiaj_1	HPSI0514i-fiaj_3	HPSI0514i-kuco_5	HPSI0514i-lako_1	HPSI0514i-lako_2	HPSI0514i-letw_1	HPSI0514i-letw_5	HPSI0514i-naah_2	HPSI0514i-naah_4	HPSI0514i-oekw_2	HPSI0514i-oupf_5	HPSI0514i-oupf_6	HPSI0514i-puie_4	HPSI0514i-puie_5	HPSI0514i-qihv_1	HPSI0514i-rutc_2	HPSI0514i-sohd_2	HPSI0514i-sohd_3	HPSI0514i-suul_1	HPSI0514i-suul_2	HPSI0514i-tert_1	HPSI0514i-toco_5	HPSI0514i-vuna_3	HPSI0514i-wiii_2	HPSI0514i-wiii_3	HPSI0514i-xufp_1	HPSI0514i-xufp_2	HPSI0514i-yelp_3	HPSI0514i-yelp_4	HPSI0514i-yewo_4	HPSI0614i-ciwj_1	HPSI0614i-ciwj_2	HPSI0614i-denw_6	HPSI0614i-juzt_4	HPSI0614i-kegd_2	HPSI0614i-lepk_1	HPSI0614i-lepk_4	HPSI0614i-liqa_1	HPSI0614i-liqa_6	HPSI0614i-lirf_5	HPSI0614i-lirf_6	HPSI0614i-miaj_4	HPSI0614i-miaj_6	HPSI0614i-oicx_2	HPSI0614i-oicx_6	HPSI0614i-paab_3	HPSI0614i-paab_4	HPSI0614i-puhk_2	HPSI0614i-puhk_5	HPSI0614i-qunz_2	HPSI0614i-qunz_3	HPSI0614i-uevq_4	HPSI0614i-uevq_6	HPSI0614i-uilk_2	HPSI0614i-uilk_3	HPSI0614i-voce_1	HPSI0614i-voce_2	HPSI0614i-wihj_1	HPSI0614i-wihj_4	HPSI0714i-burb_1	HPSI0714i-burb_3	HPSI0714i-iudw_1	HPSI0714i-iudw_4	HPSI0714i-jilk_3	HPSI0714i-jilk_4	HPSI0714i-keui_1	HPSI0714i-keui_4	HPSI0714i-kute_4	HPSI0714i-kute_5	HPSI0714i-nufh_3	HPSI0714i-nufh_4	HPSI0714i-oatm_1	HPSI0714i-oatm_2	HPSI0714i-pipw_4	HPSI0714i-pipw_5	HPSI0715i-aowh_2	HPSI0715i-meue_4	HPSI0715i-meue_5	HPSI0715i-zaie_1	HPSI0715i-zaie_5	HPSI0814i-bokz_5	HPSI0814i-bokz_6	HPSI0814i-doao_1	HPSI0814i-doao_2	HPSI0814i-siqu_11	HPSI0814i-siqu_4	HPSI0814i-uepz_3	HPSI0814i-uepz_4	HPSI0913i-diku_1	HPSI0913i-eika_2	HPSI0913i-lise_1	HPSI0913i-lise_3	HPSI0913i-oapg_5	HPSI0913i-xomm_1	HPSI0913i-xomm_2	HPSI0913i-xomm_3	HPSI0914i-euts_1	HPSI0914i-euts_3	HPSI0914i-gine_2	HPSI0914i-jejf_2	HPSI0914i-jejf_3	HPSI0914i-kajh_2	HPSI0914i-kajh_3	HPSI0914i-laey_4	HPSI0914i-laey_6	HPSI0914i-ouvb_2	HPSI0914i-qehq_3	HPSI0914i-qehq_7	HPSI0914i-rejf_2	HPSI0914i-suop_2	HPSI0914i-suop_5	HPSI0914i-vaka_5	HPSI0914i-yuvg_2	HPSI0914i-zerv_7	HPSI0914i-zerv_8	HPSI1013i-cups_3	HPSI1013i-garx_2	HPSI1013i-hiaf_1	HPSI1013i-hiaf_2	HPSI1013i-jogf_2	HPSI1013i-jufd_2	HPSI1013i-jufd_3	HPSI1013i-kuxp_1	HPSI1013i-pamv_1	HPSI1013i-pamv_3	HPSI1013i-sebz_1	HPSI1013i-sita_1	HPSI1013i-woci_1	HPSI1013i-woci_2	HPSI1013i-wopl_1	HPSI1013i-wuye_2	HPSI1013i-wuye_3	HPSI1013i-yemz_1	HPSI1013i-yemz_3	HPSI1013i-zagm_1	HPSI1014i-babz_3	HPSI1014i-bilx_1	HPSI1014i-bilx_2	HPSI1014i-eesb_1	HPSI1014i-juuy_2	HPSI1014i-kefb_1	HPSI1014i-nosn_1	HPSI1014i-nosn_6	HPSI1014i-qayj_3	HPSI1014i-qayj_4	HPSI1014i-quls_2	HPSI1014i-riun_1	HPSI1014i-roug_3	HPSI1014i-sehl_6	HPSI1014i-tixi_4	HPSI1014i-toss_3	HPSI1014i-tuju_1	HPSI1014i-tuju_4	HPSI1014i-vils_1	HPSI1014i-xejd_1	HPSI1014i-xejd_2	HPSI1113i-bima_1	HPSI1113i-bima_2	HPSI1113i-dons_1	HPSI1113i-eofe_1	HPSI1113i-hajc_1	HPSI1113i-hayt_1	HPSI1113i-hayt_3	HPSI1113i-ieki_2	HPSI1113i-ieki_3	HPSI1113i-oaaz_2	HPSI1113i-oaaz_3	HPSI1113i-podx_1	HPSI1113i-qolg_1	HPSI1113i-qolg_3	HPSI1113i-qorq_1	HPSI1113i-qorq_2	HPSI1113i-uofv_1	HPSI1113i-vuud_2	HPSI1113i-wahn_1	HPSI1113i-wahn_2	HPSI1113i-wetu_2	HPSI1114i-kuul_1	HPSI1114i-kuul_2	HPSI1114i-ualf_2	HPSI1114i-ualf_6	HPSI1114i-xiby_4	HPSI1114i-xiby_5	HPSI1114i-yair_2	HPSI1114i-ziyn_5	HPSI1114i-ziyn_6	HPSI1114i-zuuy_4	HPSI1114i-zuuy_5	HPSI1213i-aegt_2	HPSI1213i-aegt_3	HPSI1213i-babk_2	HPSI1213i-hehd_1	HPSI1213i-hehd_2	HPSI1213i-nekd_1	HPSI1213i-nusw_2	HPSI1213i-pahc_4	HPSI1213i-pahc_5	HPSI1213i-tolg_4	HPSI1213i-tolg_6	HPSI1213i-xuja_2
[-]Mh	75	84	31	48	41	37	42	67	55	38	55	24	21	9	64	5	101	79	46	45	21	100	119	94	87	45	31	65	64	12	10	56	36	32	12	47	29	5	35	37	29	5	7	51	52	55	18	32	25	22	20	22	6	7	34	14	18	33	6	5	181	98	46	54	72	51	23	23	27	59	70	55	68	14	16	78	75	9	2	5	40	22	104	16	23	24	27	40	14	13	58	101	11	70	44	6	99	22	24	58	66	31	110	31	35	36	37	3	3	212	44	41	82	61	27	44	34	32	83	91	47	48	85	104	6	6	53	36	74	46	33	19	15	52	16	35	13	40	60	69	14	17	56	54	6	39	12	23	25	4	54	75	75	8	114	122	20	57	19	63	6	2	5	14	16	44	40	18	56	63	69	36	15	42	38	13	3	6	10	20	14	76	73	49	41	89	65	80	86	7	8	29	30	13	12	12	13	86	45	11	29	81	27	29	129	131	58	71	52	61	15	13	40	28	18	17	25	38	18	11	52	110	70	19	16	6	9	79	72	80	36	99	43	72	18	77	70	48	114	13	164	9	13	7	12	7	6	22	25	59	21	57	30	9	21	21	16	15	88	67	45	56	29	116	118	7	144	12	3	38	33	59	55	229	3	108	36	15	5	3	14	24	40	28	17	34	7	9	17	24	76	19	11	8	19	25	63	8	93	1	21	22	26	115	108	15	13	168	33	19	78	104	42	49	31	29	31	20	26	55	61	39	36	47
[->1]Other	24	27	15	34	16	14	19	35	25	9	22	6	14	6	21	6	54	34	32	29	12	35	39	42	35	20	18	41	38	5	6	21	18	21	13	21	20	3	18	6	5	2	1	30	25	27	5	17	15	8	13	11	6	4	15	4	3	18	3	3	92	55	16	44	41	20	8	10	13	23	35	28	25	12	6	37	32	7	3	4	17	20	29	4	16	12	15	12	4	6	31	52	6	20	21	1	56	13	15	27	26	16	35	16	14	16	21	8	9	91	23	18	27	25	18	20	15	15	35	36	21	26	42	41	5	2	18	8	28	13	15	9	10	29	5	17	7	23	23	19	14	15	30	29	3	14	6	10	10	1	31	30	32	3	53	53	9	41	16	35	2	1	3	8	10	35	29	10	25	26	22	10	7	20	18	2	3	8	6	6	7	37	34	21	23	42	36	25	25	1	2	11	13	8	3	5	5	44	24	6	8	33	18	19	75	72	29	34	28	37	6	8	17	16	12	14	13	22	10	6	27	56	33	14	3	4	9	33	35	45	15	47	14	28	12	25	32	25	50	6	89	6	8	3	7	4	7	13	11	41	21	27	9	3	5	17	8	4	49	20	19	29	8	46	60	5	70	9	1	24	20	24	39	115	1	60	16	16	3	2	6	13	18	15	16	10	2	2	5	8	28	10	6	3	10	7	20	5	41	1	11	13	16	50	48	2	3	83	23	11	36	65	19	16	19	21	23	7	10	25	24	14	11	18
[->1]Rep	6	6	8	4	6	10	6	5	7	10	8	4	3	1	10	4	10	12	6	5	6	9	8	13	13	11	8	11	10	5	2	3	4	4	4	4	7	3	13	7	4	0	0	7	4	13	3	6	7	6	4	8	1	2	6	1	4	3	4	1	14	11	3	9	16	9	7	7	5	4	10	5	12	4	3	8	11	2	0	2	8	3	15	2	4	4	7	5	0	2	14	15	7	19	9	0	12	7	8	12	7	7	5	5	3	4	12	2	2	20	7	11	8	4	8	10	6	7	9	10	8	7	7	13	4	1	12	5	12	6	8	2	4	6	7	5	1	6	7	12	5	7	5	7	0	6	3	5	3	1	3	8	8	1	10	12	3	13	5	11	4	0	1	2	1	7	8	2	5	9	8	11	2	9	7	3	2	2	3	2	4	10	3	2	4	7	11	8	8	0	4	2	3	1	3	2	3	8	5	2	4	9	9	8	21	16	6	11	6	10	3	3	7	5	7	6	2	9	2	4	7	12	5	5	3	0	0	15	14	10	8	12	8	7	3	7	5	5	18	3	17	1	5	0	3	2	4	7	5	7	4	6	5	5	4	7	3	6	15	11	8	13	3	19	8	1	11	1	0	6	10	3	10	27	3	11	6	4	1	0	4	7	13	5	6	7	2	5	5	3	11	2	1	2	3	5	11	4	16	0	6	7	6	13	11	6	3	15	3	3	10	10	12	4	9	7	12	4	8	7	9	7	5	12
[-C]Rep<5	26	33	21	19	23	22	24	27	21	20	30	15	13	7	27	11	31	30	30	24	17	34	27	26	20	25	22	30	29	9	7	26	18	20	16	19	15	15	27	19	18	11	7	15	15	38	8	20	22	19	25	22	13	4	10	11	23	20	6	8	50	42	18	24	42	21	16	18	19	24	25	31	25	13	6	23	22	8	5	4	25	15	30	7	19	16	21	19	13	14	25	47	12	25	19	2	36	14	14	18	17	11	33	8	12	23	22	6	5	53	19	29	26	15	28	32	15	15	24	30	31	29	31	26	15	7	20	25	23	23	20	8	12	28	12	16	7	22	17	22	14	16	20	19	3	18	6	10	13	5	22	28	25	7	34	37	22	33	16	13	9	8	3	12	11	22	18	19	30	29	25	21	9	21	18	4	7	11	10	8	10	24	30	32	21	37	18	16	16	3	4	17	10	15	10	8	16	22	20	5	23	27	33	27	48	45	17	26	23	26	7	20	25	14	12	10	14	23	15	18	23	40	30	11	14	2	8	26	29	24	26	32	15	27	12	31	38	21	43	8	38	20	12	2	8	8	6	32	31	24	19	16	12	2	21	17	10	5	36	14	15	25	22	30	35	3	36	7	4	19	16	21	24	63	4	39	19	12	2	1	10	15	18	15	17	24	11	4	9	20	14	20	7	6	6	11	21	3	35	7	18	15	14	38	33	7	5	41	23	15	35	50	29	26	18	15	21	11	19	27	27	21	19	22
[-C]Rep>=5	2	0	0	0	1	0	2	2	2	1	0	1	1	1	4	1	1	0	1	0	2	1	1	3	3	2	1	2	2	1	1	2	1	1	1	1	0	2	2	2	2	1	0	2	2	2	1	3	1	0	1	1	1	1	1	0	1	1	0	0	2	2	2	0	4	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	2	2	1	0	0	3	3	1	3	1	1	2	3	2	1	2	0	2	0	0	4	0	1	1	1	2	2	3	0	1	1	2	3	3	2	3	0	1	3	0	0	0	0	3	2	3	0	0	3	2	1	1	1	1	0	1	1	1	1	0	2	0	0	0	0	0	1	1	1	3	2	1	0	0	2	2	2	0	1	1	4	5	1	1	3	0	3	1	2	1	0	1	1	1	0	1	1	4	1	1	4	2	1	1	1	2	1	1	1	0	0	0	3	1	1	1	4	3	3	1	2	1	1	2	3	1	2	2	0	0	2	0	1	0	2	3	2	1	2	1	0	0	2	2	1	0	2	2	2	1	0	3	0	1	2	1	1	0	0	0	0	1	3	3	2	3	1	2	1	0	0	1	1	3	2	0	1	3	3	1	1	2	0	0	1	0	1	1	5	1	2	1	1	0	0	0	2	0	0	0	2	0	0	2	2	2	0	1	0	1	2	1	1	7	1	3	0	0	5	4	0	0	4	0	0	2	6	4	0	1	1	0	0	1	0	1	2	1	1
[-T]Rep<5	36	32	21	39	21	16	26	38	30	25	24	14	32	9	25	15	49	26	33	41	21	44	48	42	36	29	30	38	34	11	13	22	23	22	15	14	10	15	18	18	18	7	9	32	32	29	12	21	21	7	12	11	9	10	19	11	15	22	11	8	58	50	20	38	53	28	18	17	15	26	33	24	33	20	11	43	34	10	5	9	22	24	34	14	19	23	19	17	14	14	27	31	8	20	25	8	50	13	12	30	17	16	35	16	19	29	19	6	7	94	35	29	41	28	19	17	16	17	35	38	27	25	33	42	6	9	25	18	41	39	24	19	19	27	18	18	13	23	18	32	17	9	39	38	11	19	8	10	14	3	18	27	21	14	57	53	18	28	19	29	10	11	6	15	12	34	30	19	32	26	25	19	11	27	28	9	7	7	12	6	16	30	24	35	29	48	30	26	28	9	9	14	16	9	16	11	10	37	26	10	20	36	30	17	62	71	28	36	31	28	19	17	25	14	15	12	12	24	14	16	17	44	31	24	11	5	5	30	23	46	35	42	24	32	18	42	27	25	46	9	73	14	17	6	9	9	12	25	21	30	19	29	24	6	16	14	18	14	37	19	21	21	17	31	46	5	61	9	5	14	25	17	39	84	0	55	30	17	5	3	22	12	31	26	23	36	15	11	12	28	29	19	4	6	10	11	25	6	57	9	25	15	10	51	53	8	7	71	29	21	25	51	25	20	22	36	26	16	16	26	27	21	31	27
[-T]Rep>=5	21	12	13	18	22	8	9	12	11	21	18	15	11	5	15	13	18	12	13	10	19	13	15	14	18	8	17	11	11	17	10	9	13	3	8	12	14	8	9	20	14	6	5	17	18	18	7	20	15	11	13	5	6	14	13	11	7	5	7	9	26	19	12	21	12	18	13	7	11	18	15	14	18	14	10	16	17	9	3	2	16	8	20	11	6	9	17	15	5	6	12	21	8	17	10	5	26	9	12	18	16	12	19	9	13	10	10	11	12	20	14	13	15	13	11	15	7	5	24	23	13	14	18	14	13	12	12	11	20	14	8	12	10	15	12	7	10	14	13	17	5	11	27	28	10	11	8	6	6	4	12	11	11	7	11	12	14	19	9	13	14	4	8	8	7	13	14	11	11	13	14	19	18	16	17	8	10	11	11	9	8	7	12	15	15	19	10	17	13	8	6	11	10	15	20	10	18	14	7	0	11	16	11	14	17	23	11	11	13	16	6	19	17	7	6	9	10	11	7	8	9	20	12	8	7	7	8	13	21	9	9	15	9	16	18	18	13	14	22	4	25	8	15	8	12	12	6	13	13	8	11	9	10	11	19	10	13	12	19	14	6	21	12	28	17	7	13	8	1	8	8	11	24	28	8	21	19	8	2	0	4	6	17	13	15	13	5	7	8	12	13	10	2	2	8	11	11	14	25	4	13	13	7	23	14	11	11	29	11	5	29	19	16	10	14	18	21	9	15	13	13	8	9	12
[+]Mh	1	1	0	1	0	0	0	2	1	2	2	0	1	0	0	0	1	2	1	2	3	4	2	3	2	3	2	1	1	0	2	1	1	0	1	1	1	1	2	2	1	0	1	3	2	1	0	0	0	1	0	1	0	0	1	3	0	2	1	0	3	2	0	2	1	2	2	2	0	1	1	1	1	1	0	2	1	0	1	0	0	2	4	2	0	2	1	3	0	0	2	1	3	0	0	1	1	0	0	1	1	2	3	0	1	1	0	1	2	2	1	2	1	1	1	0	1	2	0	0	1	0	2	1	1	0	2	2	2	0	1	2	0	2	0	2	0	2	1	2	0	0	1	3	1	5	0	0	1	0	2	0	0	1	0	2	1	1	1	1	3	0	0	1	1	3	0	2	6	0	0	0	0	0	0	0	1	0	1	4	1	1	1	1	3	3	0	1	1	1	1	2	5	0	2	1	2	2	0	0	2	0	0	4	4	1	2	2	0	2	0	0	0	1	1	0	2	0	1	0	2	0	1	1	1	0	1	1	0	2	1	0	0	1	1	1	1	2	4	1	6	3	0	0	4	1	1	1	1	1	2	0	0	3	0	1	0	0	1	1	0	0	0	1	2	1	5	0	0	3	0	1	1	3	0	2	4	2	0	0	0	1	1	0	0	0	0	0	1	1	1	0	2	0	1	1	3	0	2	0	3	0	0	1	0	0	0	4	1	0	2	2	1	1	1	2	1	0	2	0	0	0	1	0
[+>1]Other	0	1	0	0	0	0	3	1	0	1	1	1	0	1	1	0	2	1	0	1	1	1	1	0	0	1	2	2	1	0	1	1	1	0	0	0	2	1	0	1	1	0	2	2	4	2	1	0	4	4	0	1	2	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	2	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	2	0	0	1	1	0	2	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	2	3	1	0	0	2	0	0	0	0	1	0	1	1	1	1	0	3	0	1	1	1	2	0	0	1	0	0	0	0	3	1	0	0	1	1	0	3	0	0	1	0	0	0	2	1	1	0	3	1	0	0	1	0	3	1	1	0	1	1	2	0	1	0	0	1	0	1	1	2	2	2	0	2	0	0	0	1	1	1	0	1	0	1	0	3	0	3	1	0	0	0	0	1	1	0	1	3	5	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	2	0	1	0	1	2	0	0	0	1	2	3	0	2	1	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	2	2	2	0	3	0	0	0	2	4	1	1	0	0	0	0	0	0	0	0	2	2	0	1	1	1	2	0	2	0	0	1	1	1	1	1	0	2	0	1	2	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	1	1	1	0	0
[+>1]Rep	4	4	3	4	6	1	4	3	5	3	5	0	0	1	7	3	5	6	3	2	3	9	6	2	4	1	1	6	9	5	1	3	2	1	2	3	2	2	9	8	3	5	2	3	3	1	4	7	1	4	5	2	1	0	3	3	3	2	0	0	6	9	3	1	10	3	0	3	2	8	6	6	3	3	0	3	2	0	0	0	4	3	4	3	5	1	2	3	0	1	3	6	2	3	4	2	1	3	1	4	2	3	5	2	1	8	6	1	0	13	1	7	4	6	6	5	3	2	8	8	5	8	6	5	5	2	3	4	9	9	5	3	1	3	3	5	0	5	3	3	0	0	5	4	4	1	1	0	0	0	5	2	2	2	7	6	5	8	3	4	3	2	2	1	0	3	3	3	6	4	3	6	1	5	6	0	1	1	0	4	1	4	7	7	6	3	7	6	7	1	3	3	3	6	6	2	3	5	3	1	0	3	1	6	6	10	2	5	3	2	4	3	3	3	1	4	4	3	2	1	1	5	6	2	2	1	1	8	1	7	7	4	5	5	0	3	3	6	10	1	5	1	6	0	0	5	1	3	3	3	2	5	1	3	2	3	1	2	6	2	3	8	6	8	5	2	11	2	0	1	4	5	7	15	2	5	5	1	0	1	1	0	4	3	1	3	2	0	2	5	3	2	2	3	1	2	5	0	4	1	3	0	0	8	4	1	3	7	3	1	6	6	5	7	2	1	7	1	0	4	2	0	2	4
