Sig	ips	exposure	denovo
Culture	HPSI0114i-bezi_1	667.676056338028	denovo
Skin_B	HPSI0114i-bezi_1	0	denovo
Skin_C	HPSI0114i-bezi_1	0	denovo
UV_Skin_D	HPSI0114i-bezi_1	1218.38329979879	denovo
Skin_E	HPSI0114i-bezi_1	0	denovo
Skin_F	HPSI0114i-bezi_1	0	denovo
Skin_G	HPSI0114i-bezi_1	0	denovo
Skin_H	HPSI0114i-bezi_1	506.028169014085	denovo
Skin_I	HPSI0114i-bezi_1	0	denovo
UV_Skin_J	HPSI0114i-bezi_1	2446.30482897384	denovo
Culture	HPSI0114i-bezi_3	714.470380973354	denovo
Skin_B	HPSI0114i-bezi_3	0	denovo
Skin_C	HPSI0114i-bezi_3	0	denovo
UV_Skin_D	HPSI0114i-bezi_3	969.348821845408	denovo
Skin_E	HPSI0114i-bezi_3	0	denovo
Skin_F	HPSI0114i-bezi_3	0	denovo
Skin_G	HPSI0114i-bezi_3	0	denovo
Skin_H	HPSI0114i-bezi_3	398.279233648976	denovo
Skin_I	HPSI0114i-bezi_3	0	denovo
UV_Skin_J	HPSI0114i-bezi_3	2063.85663950672	denovo
Culture	HPSI0114i-eipl_1	1136.7170045511	denovo
Skin_B	HPSI0114i-eipl_1	0	denovo
Skin_C	HPSI0114i-eipl_1	0	denovo
UV_Skin_D	HPSI0114i-eipl_1	0	denovo
Skin_E	HPSI0114i-eipl_1	0	denovo
Skin_F	HPSI0114i-eipl_1	0	denovo
Skin_G	HPSI0114i-eipl_1	279.035167563095	denovo
Skin_H	HPSI0114i-eipl_1	250.429044269756	denovo
Skin_I	HPSI0114i-eipl_1	0	denovo
UV_Skin_J	HPSI0114i-eipl_1	329.221348779479	denovo
Culture	HPSI0114i-eipl_3	1148.44130434783	denovo
Skin_B	HPSI0114i-eipl_3	0	denovo
Skin_C	HPSI0114i-eipl_3	0	denovo
UV_Skin_D	HPSI0114i-eipl_3	1617.98369565217	denovo
Skin_E	HPSI0114i-eipl_3	0	denovo
Skin_F	HPSI0114i-eipl_3	0	denovo
Skin_G	HPSI0114i-eipl_3	0	denovo
Skin_H	HPSI0114i-eipl_3	385.497826086957	denovo
Skin_I	HPSI0114i-eipl_3	0	denovo
UV_Skin_J	HPSI0114i-eipl_3	728.21847826087	denovo
Culture	HPSI0114i-fikt_3	1369.86995073892	denovo
Skin_B	HPSI0114i-fikt_3	0	denovo
Skin_C	HPSI0114i-fikt_3	0	denovo
UV_Skin_D	HPSI0114i-fikt_3	0	denovo
Skin_E	HPSI0114i-fikt_3	0	denovo
Skin_F	HPSI0114i-fikt_3	0	denovo
Skin_G	HPSI0114i-fikt_3	0	denovo
Skin_H	HPSI0114i-fikt_3	244.256157635468	denovo
Skin_I	HPSI0114i-fikt_3	0	denovo
UV_Skin_J	HPSI0114i-fikt_3	0	denovo
Culture	HPSI0114i-iisa_1	462.446808510638	denovo
Skin_B	HPSI0114i-iisa_1	0	denovo
Skin_C	HPSI0114i-iisa_1	217.622027534418	denovo
UV_Skin_D	HPSI0114i-iisa_1	170.269086357947	denovo
Skin_E	HPSI0114i-iisa_1	0	denovo
Skin_F	HPSI0114i-iisa_1	0	denovo
Skin_G	HPSI0114i-iisa_1	226.689612015019	denovo
Skin_H	HPSI0114i-iisa_1	205.531914893617	denovo
